MS46122B
!1950303/94120156
!11/28/2024.3:10:41.PM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: ONE.PORT.CAL.PORT 1,2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S11               	S11               	S11               	S12               
!PORT:        	PORT1             	PORT1             	PORT1             	PORT2             
!GRAPH:       	LOGMAG            	IMPEDANCE.RIM     	SMITH.IMPEDANCE   	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT	FREQ1.GHZ	LOGMAG1	FREQ2.GHZ	RESISTANCE2	REACTANCE2	FREQ3.GHZ	RESISTANCE3	REACTANCE3	FREQ4.GHZ	LOGMAG4
40	1.890000000	-4.531451E-001	1.890000000	5.604689E+000	-9.067197E+001	1.890000000	5.604689E+000	-9.067197E+001	1.890000000	-4.516951E+001
41	1.900000000	-4.441922E-001	1.900000000	5.231919E+000	-8.781927E+001	1.900000000	5.231920E+000	-8.781927E+001	1.900000000	-4.474371E+001
42	1.910000000	-4.558304E-001	1.910000000	5.134095E+000	-8.523898E+001	1.910000000	5.134095E+000	-8.523898E+001	1.910000000	-4.398680E+001
43	1.920000000	-4.738066E-001	1.920000000	5.094356E+000	-8.259754E+001	1.920000000	5.094355E+000	-8.259754E+001	1.920000000	-4.371027E+001
44	1.930000000	-4.798147E-001	1.930000000	4.923923E+000	-7.998996E+001	1.930000000	4.923922E+000	-7.998995E+001	1.930000000	-4.391653E+001
45	1.940000000	-4.850973E-001	1.940000000	4.769035E+000	-7.762287E+001	1.940000000	4.769036E+000	-7.762287E+001	1.940000000	-4.323701E+001
46	1.950000000	-5.025769E-001	1.950000000	4.739074E+000	-7.534641E+001	1.950000000	4.739073E+000	-7.534641E+001	1.950000000	-4.353529E+001
47	1.960000000	-5.180277E-001	1.960000000	4.682327E+000	-7.306401E+001	1.960000000	4.682328E+000	-7.306401E+001	1.960000000	-4.333473E+001
48	1.970000000	-5.179610E-001	1.970000000	4.491903E+000	-7.086183E+001	1.970000000	4.491904E+000	-7.086182E+001	1.970000000	-4.333076E+001
49	1.980000000	-5.266910E-001	1.980000000	4.395629E+000	-6.883736E+001	1.980000000	4.395628E+000	-6.883736E+001	1.980000000	-4.272816E+001
50	1.990000000	-5.382678E-001	1.990000000	4.328650E+000	-6.689719E+001	1.990000000	4.328650E+000	-6.689719E+001	1.990000000	-4.335125E+001
51	2.000000000	-5.498922E-001	2.000000000	4.255399E+000	-6.490406E+001	2.000000000	4.255399E+000	-6.490407E+001	2.000000000	-4.296936E+001
52	2.010000000	-5.496777E-001	2.010000000	4.094894E+000	-6.294864E+001	2.010000000	4.094894E+000	-6.294864E+001	2.010000000	-4.289545E+001
53	2.020000000	-5.465698E-001	2.020000000	3.936118E+000	-6.122005E+001	2.020000000	3.936116E+000	-6.122005E+001	2.020000000	-4.276550E+001
54	2.030000000	-5.613374E-001	2.030000000	3.905258E+000	-5.946416E+001	2.030000000	3.905257E+000	-5.946415E+001	2.030000000	-4.338986E+001
55	2.040000000	-5.684500E-001	2.040000000	3.814897E+000	-5.764472E+001	2.040000000	3.814899E+000	-5.764472E+001	2.040000000	-4.281028E+001
56	2.050000000	-5.493653E-001	2.050000000	3.568900E+000	-5.601331E+001	2.050000000	3.568900E+000	-5.601331E+001	2.050000000	-4.262617E+001
57	2.060000000	-5.692439E-001	2.060000000	3.591560E+000	-5.454517E+001	2.060000000	3.591558E+000	-5.454516E+001	2.060000000	-4.330107E+001
58	2.070000000	-6.023656E-001	2.070000000	3.676491E+000	-5.288049E+001	2.070000000	3.676493E+000	-5.288049E+001	2.070000000	-4.348725E+001
59	2.080000000	-5.866622E-001	2.080000000	3.471720E+000	-5.134056E+001	2.080000000	3.471721E+000	-5.134056E+001	2.080000000	-4.307003E+001
60	2.090000000	-5.964018E-001	2.090000000	3.439456E+000	-5.005198E+001	2.090000000	3.439454E+000	-5.005197E+001	2.090000000	-4.290057E+001
61	2.100000000	-6.507691E-001	2.100000000	3.646578E+000	-4.861001E+001	2.100000000	3.646576E+000	-4.861002E+001	2.100000000	-4.382304E+001
62	2.110000000	-6.582826E-001	2.110000000	3.568640E+000	-4.695760E+001	2.110000000	3.568640E+000	-4.695760E+001	2.110000000	-4.343357E+001
63	2.120000000	-6.390106E-001	2.120000000	3.374306E+000	-4.564520E+001	2.120000000	3.374306E+000	-4.564520E+001	2.120000000	-4.300608E+001
64	2.130000000	-6.943403E-001	2.130000000	3.574901E+000	-4.437100E+001	2.130000000	3.574902E+000	-4.437100E+001	2.130000000	-4.322615E+001
65	2.140000000	-7.289492E-001	2.140000000	3.635265E+000	-4.276210E+001	2.140000000	3.635265E+000	-4.276210E+001	2.140000000	-4.347764E+001
66	2.150000000	-6.882099E-001	2.150000000	3.338236E+000	-4.136246E+001	2.150000000	3.338236E+000	-4.136246E+001	2.150000000	-4.353956E+001
67	2.160000000	-7.137323E-001	2.160000000	3.387383E+000	-4.025089E+001	2.160000000	3.387383E+000	-4.025089E+001	2.160000000	-4.326046E+001
68	2.170000000	-7.624896E-001	2.170000000	3.524263E+000	-3.889149E+001	2.170000000	3.524264E+000	-3.889148E+001	2.170000000	-4.419396E+001
69	2.180000000	-7.236011E-001	2.180000000	3.254273E+000	-3.748032E+001	2.180000000	3.254273E+000	-3.748031E+001	2.180000000	-4.376696E+001
70	2.190000000	-7.060626E-001	2.190000000	3.114949E+000	-3.647883E+001	2.190000000	3.114950E+000	-3.647883E+001	2.190000000	-4.407452E+001
71	2.200000000	-7.757983E-001	2.200000000	3.350776E+000	-3.535951E+001	2.200000000	3.350776E+000	-3.535951E+001	2.200000000	-4.399113E+001
72	2.210000000	-7.876093E-001	2.210000000	3.312499E+000	-3.394279E+001	2.210000000	3.312498E+000	-3.394279E+001	2.210000000	-4.485472E+001
73	2.220000000	-7.590515E-001	2.220000000	3.126043E+000	-3.280986E+001	2.220000000	3.126043E+000	-3.280985E+001	2.220000000	-4.364279E+001
74	2.230000000	-8.202256E-001	2.230000000	3.316666E+000	-3.180662E+001	2.230000000	3.316666E+000	-3.180663E+001	2.230000000	-4.427507E+001
75	2.240000000	-8.932513E-001	2.240000000	3.519155E+000	-3.035890E+001	2.240000000	3.519155E+000	-3.035890E+001	2.240000000	-4.381271E+001
76	2.250000000	-8.623510E-001	2.250000000	3.325031E+000	-2.913801E+001	2.250000000	3.325031E+000	-2.913801E+001	2.250000000	-4.464882E+001
77	2.260000000	-8.957290E-001	2.260000000	3.398689E+000	-2.821054E+001	2.260000000	3.398689E+000	-2.821054E+001	2.260000000	-4.330762E+001
78	2.270000000	-9.840432E-001	2.270000000	3.654484E+000	-2.694719E+001	2.270000000	3.654485E+000	-2.694719E+001	2.270000000	-4.453752E+001
79	2.280000000	-9.737166E-001	2.280000000	3.537125E+000	-2.561119E+001	2.280000000	3.537125E+000	-2.561119E+001	2.280000000	-4.295592E+001
80	2.290000000	-9.554434E-001	2.290000000	3.414598E+000	-2.459766E+001	2.290000000	3.414598E+000	-2.459766E+001	2.290000000	-4.346157E+001
81	2.300000000	-1.046777E+000	2.300000000	3.678168E+000	-2.352199E+001	2.300000000	3.678168E+000	-2.352199E+001	2.300000000	-4.230465E+001
82	2.310000000	-1.086718E+000	2.310000000	3.741429E+000	-2.218172E+001	2.310000000	3.741429E+000	-2.218172E+001	2.310000000	-4.436292E+001
83	2.320000000	-1.077342E+000	2.320000000	3.649457E+000	-2.107290E+001	2.320000000	3.649457E+000	-2.107290E+001	2.320000000	-4.156377E+001
84	2.330000000	-1.158929E+000	2.330000000	3.873689E+000	-2.013547E+001	2.330000000	3.873689E+000	-2.013547E+001	2.330000000	-4.160087E+001
85	2.340000000	-1.254170E+000	2.340000000	4.113837E+000	-1.875984E+001	2.340000000	4.113837E+000	-1.875984E+001	2.340000000	-4.222843E+001
86	2.350000000	-1.241883E+000	2.350000000	4.009801E+000	-1.753606E+001	2.350000000	4.009801E+000	-1.753606E+001	2.350000000	-4.239344E+001
87	2.360000000	-1.295473E+000	2.360000000	4.130422E+000	-1.651693E+001	2.360000000	4.130423E+000	-1.651694E+001	2.360000000	-4.165815E+001
88	2.370000000	-1.417273E+000	2.370000000	4.453758E+000	-1.529287E+001	2.370000000	4.453758E+000	-1.529287E+001	2.370000000	-4.127037E+001
89	2.380000000	-1.453187E+000	2.380000000	4.497499E+000	-1.389323E+001	2.380000000	4.497499E+000	-1.389323E+001	2.380000000	-4.089241E+001
90	2.390000000	-1.482481E+000	2.390000000	4.536635E+000	-1.277516E+001	2.390000000	4.536635E+000	-1.277516E+001	2.390000000	-4.044207E+001
91	2.400000000	-1.628633E+000	2.400000000	4.927762E+000	-1.159907E+001	2.400000000	4.927762E+000	-1.159907E+001	2.400000000	-4.089410E+001
92	2.410000000	-1.731293E+000	2.410000000	5.173484E+000	-1.015149E+001	2.410000000	5.173484E+000	-1.015149E+001	2.410000000	-4.031346E+001
93	2.420000000	-1.799095E+000	2.420000000	5.321262E+000	-8.796718E+000	2.420000000	5.321262E+000	-8.796719E+000	2.420000000	-3.960574E+001
94	2.430000000	-1.949233E+000	2.430000000	5.716826E+000	-7.575576E+000	2.430000000	5.716826E+000	-7.575576E+000	2.430000000	-3.899279E+001
95	2.440000000	-2.130618E+000	2.440000000	6.192724E+000	-6.055628E+000	2.440000000	6.192724E+000	-6.055628E+000	2.440000000	-3.963801E+001
96	2.450000000	-2.248068E+000	2.450000000	6.486352E+000	-4.447349E+000	2.450000000	6.486352E+000	-4.447349E+000	2.450000000	-3.933902E+001
97	2.460000000	-2.421441E+000	2.460000000	6.950594E+000	-3.029200E+000	2.460000000	6.950593E+000	-3.029199E+000	2.460000000	-3.935306E+001
98	2.470000000	-2.644700E+000	2.470000000	7.559393E+000	-1.346419E+000	2.470000000	7.559394E+000	-1.346419E+000	2.470000000	-3.942489E+001
99	2.480000000	-2.859333E+000	2.480000000	8.156874E+000	4.150236E-001	2.480000000	8.156874E+000	4.150236E-001	2.480000000	-3.818613E+001
100	2.490000000	-3.117636E+000	2.490000000	8.894721E+000	2.124769E+000	2.490000000	8.894721E+000	2.124769E+000	2.490000000	-3.807518E+001
101	2.500000000	-3.466220E+000	2.500000000	9.909476E+000	3.927453E+000	2.500000000	9.909476E+000	3.927453E+000	2.500000000	-3.943242E+001
102	2.510000000	-3.876480E+000	2.510000000	1.114645E+001	6.079569E+000	2.510000000	1.114645E+001	6.079568E+000	2.510000000	-3.917125E+001
103	2.520000000	-4.325801E+000	2.520000000	1.254316E+001	8.130601E+000	2.520000000	1.254316E+001	8.130601E+000	2.520000000	-3.819246E+001
104	2.530000000	-4.916181E+000	2.530000000	1.442795E+001	1.036930E+001	2.530000000	1.442794E+001	1.036930E+001	2.530000000	-3.792952E+001
105	2.540000000	-5.610991E+000	2.540000000	1.674951E+001	1.277952E+001	2.540000000	1.674951E+001	1.277952E+001	2.540000000	-3.839405E+001
106	2.550000000	-6.428167E+000	2.550000000	1.964404E+001	1.537011E+001	2.550000000	1.964404E+001	1.537011E+001	2.550000000	-3.821400E+001
107	2.560000000	-7.419446E+000	2.560000000	2.323510E+001	1.765576E+001	2.560000000	2.323510E+001	1.765576E+001	2.560000000	-3.849933E+001
108	2.570000000	-8.636034E+000	2.570000000	2.793155E+001	1.997589E+001	2.570000000	2.793155E+001	1.997589E+001	2.570000000	-3.774675E+001
109	2.580000000	-1.006113E+001	2.580000000	3.359245E+001	2.158046E+001	2.580000000	3.359245E+001	2.158046E+001	2.580000000	-3.755180E+001
110	2.590000000	-1.187104E+001	2.590000000	4.084574E+001	2.200190E+001	2.590000000	4.084574E+001	2.200190E+001	2.590000000	-3.709446E+001
111	2.600000000	-1.414857E+001	2.600000000	5.014580E+001	2.003140E+001	2.600000000	5.014580E+001	2.003140E+001	2.600000000	-3.689893E+001
112	2.610000000	-1.618209E+001	2.610000000	5.951751E+001	1.425549E+001	2.610000000	5.951751E+001	1.425549E+001	2.610000000	-3.800582E+001
113	2.620000000	-1.650142E+001	2.620000000	6.701126E+001	4.174271E+000	2.620000000	6.701126E+001	4.174271E+000	2.620000000	-3.768252E+001
114	2.630000000	-1.463865E+001	2.630000000	7.044652E+001	-9.130871E+000	2.630000000	7.044651E+001	-9.130871E+000	2.630000000	-3.773356E+001
115	2.640000000	-1.248221E+001	2.640000000	6.794582E+001	-2.216251E+001	2.640000000	6.794582E+001	-2.216251E+001	2.640000000	-3.746654E+001
116	2.650000000	-1.050517E+001	2.650000000	6.178243E+001	-3.268978E+001	2.650000000	6.178243E+001	-3.268978E+001	2.650000000	-3.901871E+001
117	2.660000000	-8.892101E+000	2.660000000	5.195295E+001	-3.919063E+001	2.660000000	5.195295E+001	-3.919063E+001	2.660000000	-3.790692E+001
118	2.670000000	-7.675043E+000	2.670000000	4.285237E+001	-4.140423E+001	2.670000000	4.285236E+001	-4.140422E+001	2.670000000	-3.828872E+001
119	2.680000000	-6.675024E+000	2.680000000	3.515527E+001	-4.129977E+001	2.680000000	3.515527E+001	-4.129977E+001	2.680000000	-3.815360E+001
120	2.690000000	-5.808604E+000	2.690000000	2.868424E+001	-3.984510E+001	2.690000000	2.868424E+001	-3.984511E+001	2.690000000	-3.796089E+001
121	2.700000000	-5.093421E+000	2.700000000	2.362387E+001	-3.771003E+001	2.700000000	2.362387E+001	-3.771003E+001	2.700000000	-3.857598E+001
122	2.710000000	-4.472064E+000	2.710000000	1.957792E+001	-3.534748E+001	2.710000000	1.957792E+001	-3.534748E+001	2.710000000	-3.886317E+001
123	2.720000000	-4.014015E+000	2.720000000	1.660888E+001	-3.271704E+001	2.720000000	1.660888E+001	-3.271704E+001	2.720000000	-3.897252E+001
124	2.730000000	-3.579320E+000	2.730000000	1.413208E+001	-3.035876E+001	2.730000000	1.413208E+001	-3.035876E+001	2.730000000	-3.877917E+001
125	2.740000000	-3.223194E+000	2.740000000	1.221068E+001	-2.812675E+001	2.740000000	1.221068E+001	-2.812675E+001	2.740000000	-3.988452E+001
126	2.750000000	-2.964818E+000	2.750000000	1.085170E+001	-2.615214E+001	2.750000000	1.085170E+001	-2.615214E+001	2.750000000	-3.876969E+001
127	2.760000000	-2.748825E+000	2.760000000	9.728143E+000	-2.410931E+001	2.760000000	9.728143E+000	-2.410931E+001	2.760000000	-3.965456E+001
128	2.770000000	-2.511469E+000	2.770000000	8.624957E+000	-2.216330E+001	2.770000000	8.624957E+000	-2.216330E+001	2.770000000	-4.108917E+001
129	2.780000000	-2.340415E+000	2.780000000	7.842331E+000	-2.047168E+001	2.780000000	7.842331E+000	-2.047168E+001	2.780000000	-4.134348E+001
130	2.790000000	-2.214681E+000	2.790000000	7.250795E+000	-1.877549E+001	2.790000000	7.250794E+000	-1.877549E+001	2.790000000	-4.059430E+001
131	2.800000000	-2.035994E+000	2.800000000	6.534913E+000	-1.720672E+001	2.800000000	6.534914E+000	-1.720672E+001	2.800000000	-4.089698E+001
132	2.810000000	-1.842912E+000	2.810000000	5.823310E+000	-1.586679E+001	2.810000000	5.823310E+000	-1.586679E+001	2.810000000	-4.164188E+001
133	2.820000000	-1.762571E+000	2.820000000	5.486483E+000	-1.451304E+001	2.820000000	5.486482E+000	-1.451304E+001	2.820000000	-4.297243E+001
134	2.830000000	-1.680772E+000	2.830000000	5.157421E+000	-1.310861E+001	2.830000000	5.157421E+000	-1.310861E+001	2.830000000	-4.138811E+001
135	2.840000000	-1.545568E+000	2.840000000	4.690279E+000	-1.190115E+001	2.840000000	4.690279E+000	-1.190115E+001	2.840000000	-4.215855E+001
136	2.850000000	-1.500697E+000	2.850000000	4.508455E+000	-1.072560E+001	2.850000000	4.508455E+000	-1.072560E+001	2.850000000	-4.274278E+001
137	2.860000000	-1.487290E+000	2.860000000	4.420607E+000	-9.343932E+000	2.860000000	4.420607E+000	-9.343932E+000	2.860000000	-4.317764E+001
138	2.870000000	-1.395794E+000	2.870000000	4.114881E+000	-8.106888E+000	2.870000000	4.114881E+000	-8.106887E+000	2.870000000	-4.319618E+001
139	2.880000000	-1.342211E+000	2.880000000	3.934147E+000	-7.118393E+000	2.880000000	3.934147E+000	-7.118392E+000	2.880000000	-4.475814E+001
140	2.890000000	-1.345869E+000	2.890000000	3.921932E+000	-5.996326E+000	2.890000000	3.921932E+000	-5.996326E+000	2.890000000	-4.583110E+001
141	2.900000000	-1.271119E+000	2.900000000	3.686383E+000	-4.834304E+000	2.900000000	3.686383E+000	-4.834304E+000	2.900000000	-4.451062E+001
142	2.910000000	-1.181943E+000	2.910000000	3.418117E+000	-3.964288E+000	2.910000000	3.418117E+000	-3.964288E+000	2.910000000	-4.563495E+001
143	2.920000000	-1.174087E+000	2.920000000	3.386966E+000	-3.073543E+000	2.920000000	3.386966E+000	-3.073543E+000	2.920000000	-4.659327E+001
144	2.930000000	-1.146359E+000	2.930000000	3.300154E+000	-2.029089E+000	2.930000000	3.300154E+000	-2.029089E+000	2.930000000	-4.725410E+001
145	2.940000000	-1.074683E+000	2.940000000	3.090876E+000	-1.146658E+000	2.940000000	3.090876E+000	-1.146658E+000	2.940000000	-4.514720E+001
146	2.950000000	-1.065055E+000	2.950000000	3.061786E+000	-3.436107E-001	2.950000000	3.061786E+000	-3.436107E-001	2.950000000	-4.682954E+001
147	2.960000000	-1.095910E+000	2.960000000	3.150714E+000	6.935358E-001	2.960000000	3.150714E+000	6.935358E-001	2.960000000	-4.695975E+001
148	2.970000000	-1.058556E+000	2.970000000	3.046586E+000	1.712618E+000	2.970000000	3.046586E+000	1.712618E+000	2.970000000	-4.741546E+001
149	2.980000000	-1.031198E+000	2.980000000	2.972367E+000	2.563933E+000	2.980000000	2.972367E+000	2.563934E+000	2.980000000	-4.895842E+001
150	2.990000000	-1.055205E+000	2.990000000	3.048455E+000	3.516674E+000	2.990000000	3.048455E+000	3.516674E+000	2.990000000	-4.964484E+001
151	3.000000000	-1.009269E+000	3.000000000	2.925435E+000	4.519654E+000	3.000000000	2.925435E+000	4.519655E+000	3.000000000	-4.930557E+001
152	3.010000000	-9.468999E-001	3.010000000	2.752893E+000	5.257270E+000	3.010000000	2.752893E+000	5.257270E+000	3.010000000	-4.936510E+001
153	3.020000000	-9.619078E-001	3.020000000	2.806215E+000	6.037180E+000	3.020000000	2.806215E+000	6.037180E+000	3.020000000	-5.049072E+001
154	3.030000000	-9.468192E-001	3.030000000	2.775817E+000	6.988587E+000	3.030000000	2.775817E+000	6.988587E+000	3.030000000	-5.096418E+001
155	3.040000000	-8.959908E-001	3.040000000	2.639304E+000	7.790352E+000	3.040000000	2.639304E+000	7.790351E+000	3.040000000	-5.071788E+001
156	3.050000000	-9.079831E-001	3.050000000	2.687223E+000	8.530516E+000	3.050000000	2.687223E+000	8.530516E+000	3.050000000	-5.093384E+001
157	3.060000000	-9.351431E-001	3.060000000	2.785638E+000	9.466455E+000	3.060000000	2.785638E+000	9.466455E+000	3.060000000	-5.063164E+001
158	3.070000000	-9.004350E-001	3.070000000	2.701501E+000	1.039166E+001	3.070000000	2.701501E+000	1.039166E+001	3.070000000	-4.971950E+001
159	3.080000000	-8.938875E-001	3.080000000	2.698798E+000	1.115283E+001	3.080000000	2.698798E+000	1.115283E+001	3.080000000	-5.127775E+001
160	3.090000000	-9.274359E-001	3.090000000	2.822377E+000	1.205675E+001	3.090000000	2.822377E+000	1.205675E+001	3.090000000	-5.144258E+001
161	3.100000000	-8.931171E-001	3.100000000	2.742224E+000	1.299172E+001	3.100000000	2.742224E+000	1.299172E+001	3.100000000	-5.021606E+001
162	3.110000000	-8.523543E-001	3.110000000	2.636845E+000	1.373809E+001	3.110000000	2.636845E+000	1.373809E+001	3.110000000	-5.012648E+001
163	3.120000000	-8.769845E-001	3.120000000	2.734706E+000	1.449984E+001	3.120000000	2.734706E+000	1.449984E+001	3.120000000	-5.190527E+001
164	3.130000000	-8.611236E-001	3.130000000	2.712626E+000	1.541893E+001	3.130000000	2.712626E+000	1.541893E+001	3.130000000	-5.089132E+001
165	3.140000000	-8.127625E-001	3.140000000	2.583477E+000	1.619593E+001	3.140000000	2.583477E+000	1.619593E+001	3.140000000	-5.086932E+001
166	3.150000000	-8.391004E-001	3.150000000	2.690896E+000	1.693758E+001	3.150000000	2.690897E+000	1.693758E+001	3.150000000	-5.022901E+001
167	3.160000000	-8.722813E-001	3.160000000	2.830939E+000	1.790003E+001	3.160000000	2.830939E+000	1.790003E+001	3.160000000	-5.118739E+001
